Date,Country,daily_new_cases,cum_total_cases,active_cases,daily_new_deaths,cum_total_deaths
2/15/2020,USA,15,15,12,0,0
2/16/2020,USA,0,15,12,0,0
2/17/2020,USA,0,15,12,0,0
2/18/2020,USA,0,15,12,0,0
2/19/2020,USA,0,15,12,0,0
2/20/2020,USA,0,15,10,0,0
2/21/2020,USA,20,35,29,0,0
2/22/2020,USA,0,35,29,0,0
2/23/2020,USA,0,35,28,0,0
2/24/2020,USA,18,53,48,0,0
2/25/2020,USA,4,57,51,0,0
2/26/2020,USA,3,60,54,0,0
2/27/2020,USA,0,60,54,0,0
2/28/2020,USA,3,63,57,0,0
2/29/2020,USA,5,68,60,1,1
3/1/2020,USA,7,75,65,0,1
3/2/2020,USA,25,100,85,5,6
3/3/2020,USA,24,124,106,3,9
3/4/2020,USA,34,158,138,2,11
3/5/2020,USA,63,221,200,1,12
3/6/2020,USA,98,319,289,3,15
3/7/2020,USA,116,435,401,4,19
3/8/2020,USA,106,541,504,3,22
3/9/2020,USA,163,704,663,4,26
3/10/2020,USA,290,994,949,4,30
3/11/2020,USA,307,1301,1248,8,38
3/12/2020,USA,397,1698,1650,2,40
3/13/2020,USA,598,2296,2239,7,47
3/14/2020,USA,647,2943,2836,10,57
3/15/2020,USA,887,3830,3697,15,72
3/16/2020,USA,1387,5217,5047,22,94
3/17/2020,USA,1987,7204,6976,26,120
3/18/2020,USA,3194,10398,10113,50,170
3/19/2020,USA,4843,15241,14890,69,239
3/20/2020,USA,6006,21247,20784,72,311
3/21/2020,USA,5153,26400,25846,67,378
3/22/2020,USA,9651,36051,35351,137,515
3/23/2020,USA,10875,46926,45926,180,695
3/24/2020,USA,11746,58672,57303,272,967
3/25/2020,USA,13692,72364,70670,308,1275
3/26/2020,USA,18089,90453,86915,364,1639
3/27/2020,USA,19234,109687,104976,502,2141
3/28/2020,USA,19519,129206,123130,655,2796
3/29/2020,USA,20355,149561,141647,508,3304
3/30/2020,USA,23921,173482,163789,824,4128
3/31/2020,USA,25917,199399,186847,1100,5228
4/1/2020,USA,27749,227148,211688,1268,6496
4/2/2020,USA,31051,258199,239969,1212,7708
4/3/2020,USA,33425,291624,270191,1302,9010
4/4/2020,USA,34988,326612,301209,1577,10587
4/5/2020,USA,26482,353094,322948,1438,12025
4/6/2020,USA,32737,385831,352390,1514,13539
4/7/2020,USA,35267,421098,383340,2282,15821
4/8/2020,USA,33165,454263,411826,2225,18046
4/9/2020,USA,34428,488691,442497,2146,20192
4/10/2020,USA,34688,523379,474092,2289,22481
4/11/2020,USA,30409,553788,498557,2078,24559
4/12/2020,USA,26574,580362,521099,1771,26330
4/13/2020,USA,27841,608203,543472,1750,28080
4/14/2020,USA,29414,637617,567689,2633,30713
4/15/2020,USA,31912,669529,586879,2697,33410
4/16/2020,USA,30623,700152,606173,2261,35671
4/17/2020,USA,33778,733930,634077,2609,38280
4/18/2020,USA,29041,762971,652614,1928,40208
4/19/2020,USA,25822,788793,673050,1602,41810
4/20/2020,USA,29839,818632,698850,1990,43800
4/21/2020,USA,27063,845695,711860,2753,46553
4/22/2020,USA,32038,877733,738734,2421,48974
4/23/2020,USA,31736,909469,764297,2426,51400
4/24/2020,USA,36424,945893,774475,2006,53406
4/25/2020,USA,34936,980829,798497,2117,55523
4/26/2020,USA,26516,1007345,821947,1181,56704
4/27/2020,USA,24062,1031407,823284,1434,58138
4/28/2020,USA,26020,1057427,842426,2551,60689
4/29/2020,USA,29209,1086636,862933,2469,63158
4/30/2020,USA,31747,1118383,883708,2287,65445
5/1/2020,USA,36137,1154520,907093,1972,67417
5/2/2020,USA,29250,1183770,921299,1737,69154
5/3/2020,USA,27082,1210852,940175,1187,70341
5/4/2020,USA,25839,1236691,953006,1347,71688
5/5/2020,USA,25976,1262667,961803,2426,74114
5/6/2020,USA,25857,1288524,970497,2581,76695
5/7/2020,USA,29662,1318186,991296,2191,78886
5/8/2020,USA,29732,1347918,1009621,1739,80625
5/9/2020,USA,25998,1373916,1016795,1470,82095
5/10/2020,USA,20386,1394302,1028494,1233,83328
5/11/2020,USA,19368,1413670,1038912,1085,84413
5/12/2020,USA,23785,1437455,1033750,1918,86331
5/13/2020,USA,22986,1460441,1036267,1874,88205
5/14/2020,USA,27963,1488404,1056285,1805,90010
5/15/2020,USA,27928,1516332,1070771,1658,91668
5/16/2020,USA,23921,1540253,1080295,1255,92923
5/17/2020,USA,19637,1559890,1092675,895,93818
5/18/2020,USA,24012,1583902,1101147,1028,94846
5/19/2020,USA,21383,1605285,1110869,1586,96432
5/20/2020,USA,22700,1627985,1121317,1448,97880
5/21/2020,USA,28774,1656759,1134256,1458,99338
5/22/2020,USA,25213,1681972,1105352,1327,100665
5/23/2020,USA,21845,1703817,1112225,1044,101709
5/24/2020,USA,19296,1723113,1122314,634,102343
5/25/2020,USA,19836,1742949,1124804,651,102994
5/26/2020,USA,20178,1763127,1124155,775,103769
5/27/2020,USA,20666,1783793,1126832,1563,105332
5/28/2020,USA,23782,1807575,1133331,1240,106572
5/29/2020,USA,25738,1833313,1143355,1241,107813
5/30/2020,USA,23940,1857253,1146746,1041,108854
5/31/2020,USA,20471,1877724,1097506,666,109520
6/1/2020,USA,19614,1897338,1096766,705,110225
6/2/2020,USA,22447,1919785,1080352,1146,111371
6/3/2020,USA,20944,1940729,1053233,1112,112483
6/4/2020,USA,22935,1963664,1047205,1048,113531
6/5/2020,USA,25906,1989570,1053280,992,114523
6/6/2020,USA,23128,2012698,1059553,736,115259
6/7/2020,USA,19478,2032176,1066305,397,115656
6/8/2020,USA,19284,2051460,1068134,584,116240
